iter	RMSE
0	0.4888643033
1	0.4737941657
2	0.4599052935
3	0.4471296
4	0.4347259825
5	0.4242671477
6	0.4143487713
7	0.4049923767
8	0.3963630325
9	0.388280394
10	0.3813514901
11	0.3743345242
12	0.3681536798
13	0.362311367
14	0.3570221232
15	0.3516713735
16	0.3469307006
17	0.3417334635
18	0.3381198256
19	0.3343457523
20	0.330957808
21	0.3276306439
22	0.3242662247
23	0.3213791987
24	0.3185089817
25	0.3161096561
26	0.3140590551
27	0.3119406096
28	0.3100247159
29	0.3083022443
30	0.3055313698
31	0.3035195413
32	0.3014789179
33	0.3000592882
34	0.2984817706
35	0.2968777077
36	0.2955067459
37	0.29391879
38	0.2928451802
39	0.2917764224
40	0.290818844
41	0.28989479
42	0.2891951907
43	0.2882394452
44	0.2875413486
45	0.2866780931
46	0.2851767513
47	0.2840819538
48	0.2831541911
49	0.2825162607
50	0.2819094145
51	0.2810743183
52	0.2798384129
53	0.2791405904
54	0.2786314145
55	0.2780062283
56	0.2774115818
57	0.2769674301
58	0.276297496
59	0.2753541555
60	0.2747636697
61	0.2743963384
62	0.2740898384
63	0.2736501769
64	0.2732314871
65	0.272867556
66	0.2725902222
67	0.2719388573
68	0.2713468301
69	0.271012269
70	0.2706614931
71	0.2703699125
72	0.2700755821
73	0.2696248361
74	0.2693006186
75	0.269061558
76	0.2687724841
77	0.2684622998
78	0.2681578694
79	0.2679419283
80	0.2677456982
81	0.2675013587
82	0.2672804815
83	0.2670195034
84	0.266657681
85	0.2664076683
86	0.2661529943
87	0.2659320319
88	0.2657805119
89	0.2655527653
90	0.2653136754
91	0.265073825
92	0.2649014645
93	0.2646999259
94	0.2645929439
95	0.2644682758
96	0.2643207911
97	0.2642051739
98	0.2640648535
99	0.2638933031
100	0.2637676864
101	0.2636271565
102	0.2634636275
103	0.2632706005
104	0.2630219287
105	0.2628829008
106	0.2627579701
107	0.2625869396
108	0.2624399007
109	0.2620227557
110	0.2618971455
111	0.2618112921
112	0.2616942269
